Date,Open,High,Low,Close,Volume
2/25/2016,7.7683,7.7734,7.7666,7.7727,0
2/24/2016,7.7679,7.7724,7.7663,7.769,0
2/23/2016,7.7717,7.772,7.7652,7.7678,0
2/22/2016,7.7734,7.7744,7.7654,7.772,0
2/19/2016,7.7807,7.7814,7.7707,7.774,0
2/18/2016,7.7853,7.7876,7.7725,7.7814,0
2/17/2016,7.7914,7.7942,7.7839,7.7861,0
2/16/2016,7.7843,7.7926,7.783,7.7915,0
2/15/2016,7.7891,7.7898,7.7826,7.7842,0
2/12/2016,7.7901,7.7922,7.7857,7.7895,0
2/11/2016,7.7927,7.7969,7.7849,7.7907,0
2/10/2016,7.7969,7.7988,7.7883,7.7934,0
2/9/2016,7.7911,7.7995,7.788,7.7973,0
2/8/2016,7.7899,7.7956,7.7851,7.7941,0
2/5/2016,7.7888,7.7963,7.7798,7.7894,0
2/4/2016,7.7953,7.7961,7.7808,7.7894,0
2/3/2016,7.7983,7.8012,7.788,7.796,0
2/2/2016,7.778,7.8015,7.776,7.799,0
2/1/2016,7.7819,7.7858,7.7735,7.7773,0
1/29/2016,7.7934,7.7952,7.7794,7.7804,0
1/28/2016,7.795,7.7962,7.7868,7.7941,0
1/27/2016,7.7947,7.7985,7.7825,7.7957,0
1/26/2016,7.7941,7.8018,7.7911,7.7942,0
1/25/2016,7.7976,7.7994,7.7864,7.7948,0
1/22/2016,7.8163,7.8174,7.7853,7.7991,0
1/21/2016,7.818,7.824,7.8069,7.8191,0
1/20/2016,7.8187,7.8299,7.8137,7.8185,0
1/19/2016,7.7988,7.8205,7.7988,7.8194,0
1/18/2016,7.7923,7.8003,7.7919,7.7988,0
1/15/2016,7.782,7.7999,7.774,7.7931,0
1/14/2016,7.7611,7.7899,7.7595,7.7826,0
1/13/2016,7.7624,7.7632,7.7575,7.7617,0
1/12/2016,7.7631,7.765,7.757,7.763,0
1/11/2016,7.7622,7.7649,7.7557,7.7643,0
1/8/2016,7.7577,7.7654,7.7531,7.7653,0
1/7/2016,7.752,7.7604,7.7511,7.7583,0
1/6/2016,7.751,7.7535,7.7501,7.7525,0
1/5/2016,7.7508,7.7521,7.7502,7.7516,0
1/4/2016,7.75,7.7527,7.7496,7.7515,0
1/1/2016,7.7501,7.7502,7.7501,7.7502,0
12/31/2015,7.7503,7.7514,7.7494,7.7502,0
12/30/2015,7.7496,7.7521,7.7495,7.7509,0
12/29/2015,7.7497,7.7508,7.7494,7.7501,0
12/28/2015,7.7511,7.7521,7.7496,7.7505,0
12/25/2015,7.7506,7.7516,7.7498,7.7514,0
12/24/2015,7.75,7.7516,7.7497,7.7514,0
12/23/2015,7.7515,7.7531,7.7495,7.7506,0
12/22/2015,7.7517,7.754,7.7512,7.7521,0
12/21/2015,7.7518,7.7531,7.7513,7.7523,0
12/18/2015,7.7517,7.7534,7.7511,7.7528,0
12/17/2015,7.7496,7.7534,7.7496,7.7524,0
12/16/2015,7.75,7.7513,7.7495,7.7501,0
12/15/2015,7.7503,7.7513,7.7495,7.7506,0
12/14/2015,7.7498,7.7511,7.7495,7.7503,0
12/11/2015,7.75,7.751,7.7495,7.7509,0
12/10/2015,7.7495,7.7508,7.7494,7.7502,0
12/9/2015,7.7498,7.7508,7.7494,7.75,0
12/8/2015,7.7499,7.7515,7.7495,7.7502,0
12/7/2015,7.7495,7.7508,7.7494,7.7507,0
12/4/2015,7.7495,7.7505,7.7493,7.7501,0
12/3/2015,7.7496,7.751,7.7493,7.75,0
12/2/2015,7.7515,7.7529,7.7496,7.7504,0
12/1/2015,7.7525,7.7535,7.7505,7.7521,0
11/30/2015,7.7499,7.7729,7.7495,7.753,0
11/27/2015,7.7498,7.7511,7.7497,7.7507,0
11/26/2015,7.7499,7.751,7.7496,7.7505,0
11/25/2015,7.7496,7.7508,7.7496,7.7505,0
11/24/2015,7.7495,7.7507,7.7495,7.7501,0
11/23/2015,7.7496,7.751,7.7495,7.7501,0
11/20/2015,7.7497,7.7505,7.7495,7.7502,0
11/19/2015,7.7502,7.751,7.7495,7.7502,0
11/18/2015,7.7498,7.7515,7.7498,7.7505,0
11/17/2015,7.7503,7.7516,7.7496,7.7505,0
11/16/2015,7.7501,7.7526,7.7498,7.7511,0
11/13/2015,7.7496,7.7516,7.7495,7.7513,0
11/12/2015,7.7498,7.7512,7.7495,7.7501,0
11/11/2015,7.7516,7.7525,7.7496,7.7504,0
11/10/2015,7.7514,7.7529,7.7505,7.7522,0
11/9/2015,7.75,7.753,7.7497,7.7519,0
11/6/2015,7.7503,7.753,7.75,7.7507,0
11/5/2015,7.7502,7.7521,7.7498,7.7509,0
